you,შენ / თქვენ
i,მე
it,ის (უსულო)
and,და
that,ის
is,არის
in,-ში
what,რა
we,ჩვენ
me,მე
this,ეს
he,ის (მამრ.)
for,-თვის
my,ჩემი
on,-ზე
have,"ქონა, ყოლა"
your,თქვენი
do,კეთება
was,იყო
no,არა
not,არა
be,ყოფნა
are,არიან
know,"ცოდნა ( ვიცი, იცი)"
can,შეძლება
with,-თან ერთად
but,მაგრამ
all,ყველა
so,ისე / ასე
just,"უბრალოდ, მხოლოდ"
there,იქ
here,აქ
they,ისინი
get,მიღება
she,ის (მდედრობითი)
go,წასვლა
if,თუ
right,"სწორი, მარჯვენა"
out,გარეთ
about,შესახებ
up,მაღლა
at,-თან
him,მას (მამრობითი)
now,ახლა
one,ერთი
come,მოსვლა
well,კარგად
her,მისი (მდედრობითი)
how,როგორ
yeah,აჰა ( დათანხმება)
will,ნება (განსაზღვრავს მომავალ დროს)
got,"გააჩნია, აქვს"
want,მსურს
think,ფიქრი
as,როგორც
see,დანახვა
did,გავაკეთე
good,კარგი
who,ვინ
why,რატომ
from,-დან
let,ნების დართვა
his,მისი (მამრობითი)
yes,დიახ
when,როდესაც
going,მიდის
time,დრო
okay,კარგი
back,უკან / ზურგი
look,შესახედაობა
us,ჩვენ
them,მათ
where,სად
were,იყო / იყვნენ
take,აღება
then,მაშინ
had,ჰქონდა
or,ან
been,"იყო, იყვნენ"
our,ჩვენი
gonna,ვაპირებ
tell,თქმა
really,ნამდვილად
man,მამაკაცი
some,ზოგიერთი
say,თქმა
hey,ჰეი
could,შემეძლო
didn't,ვერ (წარსული დრო)
by,მიერ / გასწვრივ / შორიახლოს
need,საჭიროება
something,რაღაც
has,აქვს
too,აგრეთვე
more,მეტი
way,გზა
down,დაბლა
make,გაკეთება
very,ძალიან
never,არასოდეს
only,ერთადერთი
people,ხალხი
over,დასრულება / -ზედ / გადაღმა
because,იმიტომ რომ
little,პატარა
please,გეთაყვა 
love,სიყვარული
should,უნდა
mean,ნიშნავს / ბოროტი
said,თქვა
sorry,ბოდიში
give,მიცემა
am,ვარ
thank,მადლობის თქმა
any,რომელიმე
two,ორი
even,-ც კი / даже
much,ბევრი
doing,კეთება
sure,დარწმუნებული
thing,ნივთი
these,ესენი
help,დახმარება
first,პირველი
into,-ში
anything,რაიმე
still,ისევ
find,ძებნა / პოვნა
life,სიცოცხლე
nothing,არაფერი
day,დღე
god,ღმერთი
work,სამუშაო
their,მათი
again,კვლავ
maybe,შესაძლოა
must,უნდა
before,წინ / - მდე
other,სხვა
wait,ლოდინი / ცდა
stop,გაჩერება
call,დაძახება
after,შემდეგ
won,მოგება
talk,საუბარი
away,შორს
than,ვიდრე
thought,აზრი
home,"სახლი, შინ"
night,ღამე
put,დადება
great,დიდი
those,ისინი
last,ბოლო / უკანასკნელი
better,უკეთესი
everything,ყველაფერი
told,უთხრა / განუცხადა
mr.,ბატონი
new,ახალი
things,ნივთები / რაღაცები
always,ყოველთვის
keep,შენახვა
long,გრძელი
years,წლები
leave,წასვლა / დატოვება / მიტოვება
does,შვრება
money,ფული
around,ირგვლივ
name,სახელი
place,ადგილი
ever,ოდესმე
feel,გრძნობა
guys,ბიჭები
father,მამა
guy,ბიჭი
made,დამზადებულია
old,მოხუცი
which,რომელი
big,დიდი
lot,ბევრი
done,შესრულებულია
hello,გამარჯობა
nice,კარგი
believe,რწმენა
girl,გოგონა 
someone,ვიღაც
fine,მშვენიერი / ჯარიმა
thanks,მადლობა
wanted,მინდოდა / იძებნება
kind,კეთილი
coming,მოდის / მომდინარე
house,სახლი
every,თითოეული
ok,კარგი
through,-გადავლით через
being,ყოფნა
course,კურსი
stay,დარჩენა
left,მარცხენა
dad,მამა
enough,საკმარისი
happened,მოხდა
came,მოვიდა
may,შეიძლება
mother,დედა
wrong,მცდარი
world,მსოფლიო
bad,ცუდი
might,შესაძლო
today,დღეს
listen,მოსმენა
another,სხვა
understand,"მიხვედრა, გაგება"
hear,გაგონება
remember,დამახსოვრება
ask,კითხვა / თხოვნა
own,ფლობა
same,იგივე
show,ჩვენება / გამოფენა
else,კიდევ
kill,მოკვლა
talking,საუბარი
found,ნაპოვნია
next,შემდეგი
getting,მიღება
care,მზრუნველობა
car,ავტომობილი
looking,ვეძებ
son,ვაჟიშვილი
try,ცდა
woman,ქალი
went,წასვლა
hi,მისალემება (არაფორმალური)
dead,მკვდარი
many,ბევრი
mind,გონება
friend,ამხანაგი ქალი
best,საუკეთესო
mom,დედა
hell,ჯოჯოხეთი
morning,დილა
trying,მცდელობა
boy,ბიჭი
together,ერთად
yourself,შენ თვითონ
job,სამუშაო
saw,დავინახე / ხერხი
family,ოჯახი
real,ნამდვილი
without,გარეშე
baby,ბავშვი
room,ოთახი /  ადგილი -  სივრცე
already,უკვე
move,მოძრაობა
most,ყველაზე 
seen,დანახვა
live,ცხოვრება
miss,მონატრება / აცილება
actually,ფაქტიურად
both,ორივე
heard,გავიგონე
once,ერთხელ
ready,"მზად, მომზადებული"
head,თავი
called,დაუძახა
used,გამოყენებული
idea,იდეა
knew,იცოდა
hold,ხელში დაჭერა 
happy,ბედნიერი
door,კარი
such,ასეთი
brother,ძმა
also,აგრეთვე
pretty,ლამაზი
bit,მცირე ნაწილი
took,აიღო
haven,"ნავსადგური, თავშესაფარი"
yet,"ჯერ, ჯერჯერობით"
men,მამაკაცები
whole,მთელი
start,დაწყება
use,სარგებლობა
since,მას შემდეგ
wife,ცოლი
days,დღეები
guess,გამოცნობა / მიხვედრა
tomorrow,ხვალ
matter,მნიშვნელობა
meet,შეხვედრა
bring,მოტანა
tonight,ამ საღამოს
everyone,ყველა
run,სირბილი
wanna,მინდა
hard,რთული
alone,მარტო
myself,მე თვითონ
school,სკოლა
gone,წავიდა / გაქრა
end,დასასრული
saying,ამბობს
phone,ტელეფონი
play,თამაში
looks,გამოიყურება
problem,პრობლემა
few,ცოტა
friends,მეგობრები
ago,წინათ
open,გახსნა
anyone,ნებისმიერი
killed,მოკლა
hope,იმედი
face,სახე
until,სანამ
lost,დაკარგული
police,პოლიცია
excuse,ბოდიშის მოხდა
turn,მობრუნება
business,საქმე
case,საქმე
wants,სურს
says,ამბობენ
TRUE,მართალი
die,გარდაცვალება
heart,გული
soon,ჩქარა
each,ყოველი
worry,შეწუხება
later,მოგვიანებით
year,წელი
watch,ყურება / საათი 
music,მუსიკა
hand,ხელი
having,რომელსაც აქვს
probably,ალბათ
beautiful,ლამაზი
doctor,ექიმი
sit,ჯდომა
eat,ჭამა
thinking,ფიქრი
young,ახალგაზრდა
second,მეორე
working,სამუშაო
water,წყალი
person,პიროვნება
part,ნაწილი
kids,ბავშვები
late,დაგვიანებული
stuff,"ნივთები, პერსონალი"
exactly,ზუსტად
under,ქვეშ
death,სიკვდილი
minute,წუთი
pay,გადახდა
crazy,გიჟი
forget,დავიწყება
everybody,ყველანი
kid,ბავშვი
change,გამოცვლა
gave,მისცა
happen,მოხდა
damn,ჯანდაბა
drink,სმა
far,შორეული
knows,ყურება
its,მისი
whatever,სულ ერთია
eyes,თვალები
shut,დახურვა / დაკეტვა
hit,"გარტყმა, მოხვედრება"
easy,ადვილი
times,დრო
check,შემოწმება / ჩეკი
hands,ხელები
minutes,წუთი
deal,საქმე
different,განსხვავებული
means,ნიშნავს
point,წერტილი / მითითება
inside,შიგ
makes,შვრება
asked,შეეკითხა
somebody,ვიღაც
mine,ჩემი
body,სხეული
afraid,შეშინებული
sleep,ძილი
chance,შანსი
dear,ძვირფასი
quite,სავსებით
anyway,ყველა შემთხვევაში
close,დაკეტვა
party,პარტია
fun,გართობა
against,წინააღმდეგ
word,სიტყვა
comes,მოდის
important,მნიშვნელოვანი
story,ამბავი / სართული
number,რიცხვი
daughter,ქალიშვილი
least,ყველაზე ნაკლები 
waiting,ელოდება
hurt,ტკენა
wish,სურვილი
moment,მომენტი
fight,ბრძოლა
week,კვირა
husband,ქმარი
girls,გოგონები
rest,დასვენება
married,დაოჯახებული
fire,ცეცხლი
game,თამაში
nobody,არავინ
mister,ბატონი
children,ბავშვები
side,მხარე / გვერდი
stand,დგომა
read,კითხვა
though,თუმცა
cut,გაჭრა
started,დაიწყო
sister,და
between,შორის / შუაში
child,ბავშვი
goes,მიდის
hours,საათები
speak,ლაპარაკი
women,ქალები
behind,უკან
almost,თითქმის
truth,სიმართლე
blood,სისხლი
able,შესაძლებლობა აქვს
lady,ქალბატონი
playing,თამაში
gets,იღებს
shot,გასროლა
reason,მიზეზი
trouble,გასაჭირი / შეწუხება
break,გატეხვა / შესვენება
war,ომი
city,ქალაქი
walk,სიარული
town,ქალაქი
trust,ნდობა
dr.,ექიმი / დოქტორი
met,შეხვდა
office,სამსახური
question,შეკითხვა
brought,მოიტანა
yours,შენი
welcome,კეთილი იყოს თქვენი მობრძანება
high,მაღალი
wow,გაოცების გამოხატვა
couple,წყვილი
half,ნახევარი
died,მოკვდა
cool,"გრილი, მაგარი"
free,თავისუფალი
seems,როგორც ჩანს
power,ძალა
bye,ნახვამდის
buy,ყიდვა
telling,თქმა
honey,თაფლი
tried,სცადა
front,წინა მხარე / ფასადი
team,გუნდი
answer,პასუხის გაცემა
gun,თოფი
boys,ბიჭები
line,ხაზი
send,გაგზავნა
news,ახალი ამბები
stupid,სულელი
bed,საწოლი
hurry,დაჩქარება
full,სავსე
months,თვეები
save,შენახვა / გადარჩენა
sometimes,ზოგჯერ
become,გახდომა
along,გასწვრივ
hate,სიძულვილი
food,საკვები
outside,გარე
light,"მსუბუქი, სინათლე"
needs,საჭიროებები
dog,ძაღლი
country,სოფელი
clear,გასუფთავება
order,"ბრძანების გაცემა, წესრიგი"
fact,ფაქტი
lord,"ბატონი, ღმერთი"
captain,კაპიტანი
hot,ცხელი
funny,სასაცილო
black,შავი
mrs.,ქალბატონი.
alive,ცოცხალი
pick,არჩევა / მოწყვეტა
feeling,გრძნობა
living,ცხოვრება
cause,მიზეზი
ahead,წინ
lose,წაგება
king,მეფე
plan,გეგმა
dinner,სადილი
sort,"დალაგება, დახარისხება"
leaving,წასვლა / დატოვება
running,სირბილი
boss,ხელმძღვანელი
alright,კარგი
promise,დაპირება
taken,აღებული
safe,უსაფრთხო
book,წიგნი
sent,გაგზავნილი
white,თეთრი
hour,საათი
anybody,ვინმე
small,პატარა
perfect,სრულყოფილი
cause,მიზეზი
lives,ცხოვრება
special,განსაკუთრებული
parents,მშობლები
himself,თავად (მამრობითი)
perhaps,ალბათ / შესაძლოა
sounds,"ჟღერს, ხმები"
serious,სერიოზული
sick,ავადმყოფი
company,კომპანია
scared,შეშინებული
uncle,ბიძა
poor,ღარიბი
red,წითელი
past,წარსული
earth,დედამიწა / მიწა
possible,შესაძლებელი
shoot,სროლა
touch,შეხება
sound,ბგერა
top,წვეტი / მწვერვალი
ass,უკანალი
laughs,იცინის
cannot,არ შეუძლია
asking,თხოვნა
win,გამარჯვება
glad,მოხარული
control,კონტროლი
human,ადამიანი
drive,მანქანის მართვა
hair,თმა
bitch,ძუკნა ძაღლი
luck,იღბალი
murder,მკვლელობა
happens,ხდება
air,ჰაერი
daddy,მამიკო
finally,საბოლოოდ
chuckles,ხითხითებს
fast,სწრაფი
cold,ცივი
seem,ჩანს
laughing,იცინის
words,სიტყვები
hospital,საავადმყოფო
street,ქუჩა
hang,დაკიდება
dance,ცეკვა
meeting,შეხვედრა
till,-მდე / სანამ
others,სხვები
catch,დაჭერა
follow,გაყოლა
sense,გრძნობა
sex,სქესი
lie,ტყუილი
evening,საღამო
master,დაუფლება
known,ცნობილი
dream,ოცნება / სიზმარი
write,წერა
voice,ხმა
sweet,ტკბილი
felt,იგრძნო
sign,ნიშანი
lucky,იღბლიანი
somewhere,სადმე
bet,სანაძლეოს დადება
calling,დარეკვა
worked,მუშაობდა
quiet,წყნარი
looked,უყურებდა
less,ნაკლები
pull,გაწევა
beat,"რიტმი, დარტყმა"
careful,ფრთხილი
coffee,ყავა
return,დაბრუნება
secret,საიდუმლო
weeks,კვირები
date,თარიღი
fall,დავარდნა / ცვენა / შემოდგომა
given,მოცემული
fault,ბრალი
straight,პირდაპირი / სწორი
takes,იღებს
song,სიმღერა
future,მომავალი
gentlemen,ბატონები
loved,უყვარდა
changed,შეიცვალა
road,გზა
calm,მშვიდი
wonderful,შესანიშნავი
mad,შეშლილი
drop,წვეთი / დაგდება
ladies,ქალბატონები
learn,სწავლა
step,ნაბიჯი
absolutely,აბსოლუტურად
early,ადრე
explain,ახსნა
clean,სუფთა
piece,ნაწილი
yesterday,გუშინ
throw,გადაგდება
picture,სურათი
land,მიწა
feet,ფეხები
wonder,გაკვირვება
questions,შეკითხვები
speaking,ლაპარაკი
worth,ღირსი
darling,ძვირფასო
giving,მიცემა
president,პრეზიდენტი
eye,თვალი
quick,ჩქარი
moving,მოძრაობა
figure,ფიგურა
strong,ძლიერი
none,არაფერი / ცარიელი
amazing,საოცარი
works,მუშაობს
act,მოქმედება
weird,უცნაური
law,კანონი
worried,შეწუხებული
report,მოხსენების გაკეთება
goodbye,ნახვამდის
missing,დაკარგული
choice,არჩევა
happening,ხდება
chief,უფროსი
wedding,ქორწილი
strange,უცნაური
general,საერთო / ზოგადი
pain,ტკივილი
am,ვარ
kidding,ხუმრობა
decided,გადაწყვიტა
pass,გავლა
tired,დაღლა
class,კლასი
officer,ოფიცერი
kept,ინახება
wake,გაღვიძება
worse,უარესი
busy,დაკავებული
mistake,შეცდომა
kiss,კოცნა
court,სასამართლო
building,შენობა
finish,დამთავრება / ფინიში
during,განმავლობაში
age,ასაკი
ship,გემი
caught,დაიჭირეს
marry,დაქორწინება
meant,აღნიშნავდა / ჩაფიქრებული იყო
sell,გაყიდვა
dark,ბნელი
watching,ყურება
system,სისტემა
suppose,ვარაუდი
evidence,დამამტკიცებელი საბუთი
movie,კინო
ride,მგზავრობა
completely,სრულიად
mouth,პირი
totally,სრულებით
birthday,დაბადების დღე
tv,ტელევიზორი
forgive,პატიება
born,დაბადებული
imagine,წარმოდგენა
information,ინფორმაცია
instead,ნაცვლად
definitely,ზუსტად
security,უსაფრთხოება /  დაცვის სამსახური
certainly,უდაოდ
film,ფილმი
month,თვე
lying,ტყუილის თქმა
unless,მანამ სანამ
train,წვრთნა / მატარებელი
wear,ჩაცმა / ტარება
clothes,ტანსაცმელები
hotel,სასტუმრო
christmas,შობა
attack,შეტევა
round,მომრგვალებული
expect,მოლოდინი
sing,მღერა
terrible,საშინელი
bag,ჩანთა
history,ისტორია
near,ახლო
broke,გატეხილი / გაკოტრებული 
station,სადგური
seriously,სერიოზულად
forever,სამუდამოდ
frank,გულწრფელი
except,გარდა
thinks,ფიქრობს
message,"წერილი, შეტყობინება"
entire,მთელი / მთლიანი
table,მაგიდა
talked,ისაუბრა
across,გადაღმა
rock,ქვა / კლდე
lovely,საყვარელი
handle,"მართვა, გამკლავება"
middle,შუა
buddy,"მეგობარი, მოყვარე"
paid,გადახდილი
protect,დაცვა
using,[რაღაცის] გამოყენებით
floor,იატაკი
swear,დაფიცება
spend,დახარჯვა
situation,სიტუაცია
ring,რეკვა
anywhere,სადმე
dangerous,საშიში
bill,კუპიურა / ანგარიში / კანონპროექტი
army,არმია
lead,გაძღოლა / ტყვია 
bought,შეიძინა
finished,დამთავრება
fair,სამართლიანი
sun,მზე
letter,წერილი
fool,სულელი 
attention,ყურადღება
club,კლუბი
simple,უბრალო
interesting,საინტერესო
space,სივრცე
test,ტესტი / ექსპერიმენტი / სინჯვა
box,ყუთი / კოლოფი
group,დაჯგუფება
single,მარტოხელა
sitting,სხდომა / მჯდომი
marriage,ქორწინება
join,შეერთება
fear,შიში
peace,მშვიდობა
forgot,დაავიწყდა
force,ძალა
short,მოკლე
normal,ნორმალური
present,საჩუქარი / აწმყო
enjoy,ისიამოვნე
crime,"დანაშაული, კრიმინალი"
horse,ცხენი
ground,მიწა
american,ამერიკელი 
count,დათვლა
area,ფართობი
charge,დამუხტვა / საფასურის გადახდევინება
honor,პატივი
lunch,ლანჩი
miles,მილი
radio,რადიო
idiot,იდიოტი 
ball,ბურთი
surprise,სიურპრიზი
paper,ქაღალდი
key,გასაღები
boat,ნავი
quickly,ჩქარა
gold,ოქრო
bar,ბარი
fish,თევზი
mark,"ნიშანი, აღნიშვნა"
wearing,აცვია / ატარებს
crying,ტირილი
accident,შემთხვევა
government,მთავრობა
fell,დაეცა
cover,საფარი
certain,განსაზღვრული
interested,დაინტერესებული
deep,ღრმა
star,ვარსკვლავი
sea,ზღვა
agree,დათანხმება
problems,პრობლემები
detective,დეტექტივი
prison,ციხე
major,"მაიორი, ძირითადი"
stick,ჯოხი
offer,შეთავაზება
difficult,ძნელი
smart,ჭკვიანი
personal,პირადი
record,რეკორდი
stopped,შეჩერდა
hide,დამალვა
whether,თუ
bank,ბანკი
trip,მოგზაურობა
relax,მოდუნება
public,სახალხო
list,სია
afternoon,ნაშუადღევი
brain,ტვინი
fix,მიმაგრება
bastard,ნაბიჭვარი
proud,ამაყი
tea,ჩაი
service,"მომსახურება, სერვისი"
screaming,ყვირილი
forward,წინ
angry,გაბრაზებული
park,პარკი
soul,სული
fighting,ბრძოლა
rich,მდიდარი
agent,აგენტი 
blow,"შებერვა, გაბერვა"
dress,კაბა
missed,"გამოტოვებული, გაცდენილი"
scene,სცენა
killing,მოკვლა
standing,მდგომი
saved,გადაარჩინა
respect,პატივისცემა
killer,მკვლელი 
ice,ყინული
mess,არეულობა
tough,"მაგარი, ძნელი"
feels,გრძნობს
church,ეკლესია
sad,ნაღვლიანი
cell,უჯრედი / საკანი
drunk,მთვრალი
share,გაზიარება
camera,კამერა
within,-ში
card,ბარათი
fly,ფრენა
girlfriend,მეგობარი გოგო
laugh,გაცინება
smell,სუნი
broken,გატეხილი
mum,დედა
honest,გულწრფელი
often,ხშირად
starting,იწყება
calls,ზარები
spent,დახარჯული
third,მესამე
visit,ვიზიტი
judge,მოსამართლე
window,ფანჯარა
hungry,მშიერი
dare,გაბედვა
relationship,ურთიერთობა
moved,გადავიდა
prove,დამტკიცება
private,კერძო
wall,კედელი
seat,"სკამი, ადგილი"
position,პოზიცია
realize,განხორციელება
lt,ეს
especially,განსაკუთრებით
machine,მანქანა
walking,სიარული
art,ხელოვნება
pleasure,სიამოვნება
bloody,სისხლიანი
college,კოლეჯი
french,ფრანგი
involved,ჩართული
cry,ტირილი
became,გახდა
lived,ცხოვრობდა
impossible,შეუძლებელი
obviously,აშკარად
neither,არც ეს
accept,მიღება
boyfriend,მეგობარი ბიჭი
besides,გარდა ამისა
queen,დედოფალი
teacher,მასწავლებელი 
cops,პოლიციელები
sake,გულისთვის
loves,უყვარს
carry,ტარება
teach,სწავლება
apartment,ბინა
upset,ნაწყენი
liked,მოწონებული
cute,საყვარელი
evil,ბოროტი
professor,პროფესორი 
contact,კონტაქტი
joke,ხუმრობა
cop,პოლიციელი
huge,უზარმაზარი
holy,წმინდა
store,მაღაზია
jail,ციხე
likes,მოსწონს
lawyer,ადვოკატი
doubt,დაეჭვება
continue,გაგრძელება
appreciate,დაფასება
cat,კატა
shop,მაღაზია
driving,მანქანის მართვა
congratulations,გილოცავ
wrote,დაწერა
village,სოფელი
quit,"მიტოვება, გამოსვლა"
field,მინდორი
wine,ღვინო
decision,გადაწყვეტილება
south,სამხრეთი
sleeping,ძინავს
slow,ნელი
laughter,სიცილი
island,კუნძული
glass,შუშა / ჭიქა
beginning,დასაწყისი
cash,ნაღდი ფული
dying,კვდება
whose,ვისიც
difference,განსხვავება
plane,თვითმფრინავი
push,ბიძგი
continues,გრძელდება
singing,მღერა
eating,ჭამა
tree,ხე
madam,ქალბატონი
gift,საჩუქარი
truck,სატვირთო მანქანა
bear,დათვი
board,"დაფა, ფიცარი, საბჭო"
grab,ხელის ჩავლება
beer,ლუდი
stuck,გაჭედილი
magic,მაგია
support,მხარდაჭერა
rules,წესები
grunts,წუწუნებს
partner,საქმიანი პარტნიორი 
reach,მიღწევა
wind,ქარი
colonel,პოლკოვნიკი
immediately,დაუყოვნებლივ
seconds,წამები
gives,აძლევს
experience,გამოცდილება
cheers,გაუმარჯოს
victim,მსხვერპლი 
upon,-ზე
computer,კომპიუტერი
christ,ქრისტე
planet,პლანეტა
promised,დაპირებული
bus,ავტობუსი
dirty,ჭუჭყიანი
search,ძებნა
staying,დარჩენა
dreams,სიზმრები
arrest,დაპატიმრება
holding,ხელში ჭერა
suddenly,მოულოდნელად
usually,ჩვეულებრივ
lots,ბევრი
shoes,ფეხსაცმელი
jump,ხტომა
rid,თავიდან მოშორება
knock,კაკუნი
owe,ვალის ქონა
grow,ზრდა
worst,ყველაზე უარესი
river,მდინარე
aunt,მამიდა
patient,პაციენტი ქალი
kitchen,სამზარეულო
fat,"ცხიმი, მსუქანი"
passed,გასული
final,ფინალი
summer,ზაფხული
listening,მოსმენა
escape,გაქცევა
everywhere,ყველგან
moon,მთვარე
arms,მკლავები / შეიარაღება
turns,"მობრუნება, მოსახვევი"
address,მისამართი
match,"მატჩი, შეესაბამება"
gasps,"იხუთება, მძიმედ სუნთქავს"
grand,გრანდიოზული
yep,დიახ
nervous,ნერვული
choose,არჩევა
themselves,თვითონ
decide,გადაწყვეტა
mate,"ამხანაგი, მეგობარი"
drinking,სმა
press,მიჭერა / პრესა
bother,შეწუხება
foot,ფეხი
blame,ბრალის დადება
crap,ნეხვი
drugs,წამალი / ნარკოტიკები
type,ტიპი
rings,ბეჭდები
mission,მისია
named,სახელად / დაასახელა
heaven,სამოთხე
picked,"აკრეფილი, მოკრეფილი, არჩეული"
race,რბოლა / რასა
risk,რისკი
books,წიგნები
further,უფრო შორს
action,მოქმედება
allowed,ნებადართული
orders,ბრძანებები
learned,ისწავლა
price,ფასი
arrived,ჩავიდა
otherwise,წინააღმდეგ შემთხვევაში
pictures,სურათები
fit,"მორგება, შესაბამისობა"
smoke,მოწევა / კვამლი
favor,"ხელშეწყობა, დახმარება"
played,ითამაშა
notice,"განცხადება, შენიშვნა"
awesome,გასაოცარია
smile,გაღიმება
director,დირექტორი 
guard,მცველი 
begin,დაწყება
spot,ლაქა
surprised,გაკვირვებული
innocent,უდანაშაულო
narrator,მთხრობელი
herself,თვითონ
feelings,გრძნობები
enemy,მტერი
battle,ბრძოლა
ourselves,ჩვენ თვითონ
dollars,დოლარები
allow,ნებართვის მიცემა
gay,"გეი, ჰომოსექსუალი / მხიარული"
department,განყოფილება
guilty,დამნაშავე
apart,მოშორებით
earlier,უფრო ადრე
duty,მოვალეობა 
suit,კოსტიუმი
bell,ზარი
hero,გმირი
destroy,განადგურება
stage,სცენა
bunch,"კონა, ერთად შეჯგუფებული"
according,მიხედვით
chicken,წიწილა
bigger,უფრო დიდი 
grunting,"ღრიალი, ღრუტუნი"
low,დაბლა
helping,დახმარება
admit,აღიარება
closed,დაკეტილი
names,სახელები
witness,"თვითმხილველი, მოწმე"
upstairs,ზედა სართულზე
arm,"მხარი, შეიარაღება"
steal,მოპარვა
kick,"წიხლის კვრა, დარტყმა"
twice,ორჯერ
cross,ჯვარი
ways,გზები
