you,შენ / თქვენ
indeed,ნამდვილად
gas,გაზი
keeping,შენახვა
energy,ენერგია
pregnant,ორსული
waste,დახარჯვა / ნაგავი
helped,დაეხმარა
fired,სამსახურიდან გათავისუფლებული
favorite,ფავორიტი
taste,გემო
locked,ჩაკეტილი
places,ადგილები
writing,წერა
brothers,ძმები
starts,იწყება
prince,პრინცი
form,ფორმა
sold,გაყიდული
silly,სულელური
mention,მოხსენიება
build,შენება
throat,ყელი
hole,ნახვრეტი
figured,ფიგურირებდა
track,"კვალი, ბილიკი / კურსი"
ringing,რეკვა
lock,დაკეტვა
above,-ზე
hiding,დამალვა
seemed,ჩანდა
breakfast,საუზმე
engine,ძრავა
written,დაწერილი
complete,სრული
video,ვიდეო
applause,ტაში
however,თუმცა
pressure,წნევა
fresh,ახალი
weapon,იარაღი
sky,ცა
stole,მოიპარეს
study,სწავლა
burn,დაწვა
reading,კითხვა
crowd,ბრბო
treat,მოპყრობა
roll,რულონი
double,ორმაგი
spirit,სული
danger,საშიშროება
cost,ღირებულება
empty,ცარიელი
level,დონე
memory,მეხსიერება
itself,თვითონ
acting,მოქმედი
interest,ინტერესი
nose,ცხვირი
plans,გეგმები
following,"მომდევნო, შემდეგი"
bathroom,აბაზანა
built,აშენებული
closer,ახლო
ray,სხივი
band,"ბენდი, ორკესტრი, სალტე"
groans,კვნესის
apparently,როგორც ჩანს
excited,აღელვებული
losing,"წაგება, დაკარგვა"
animals,ცხოველები
flight,ფრენა
nature,ბუნება
raise,აწევა
client,კლიენტი 
bomb,ბომბი
neck,კისერი
suspect,ეჭვმიტანილი 
warm,თბილი
extra,დამატებითი
bottle,ბოთლი
van,ფურგონი
heavy,მძიმე
mommy,დედიკო
dogs,ძაღლები
wild,ველური
ridiculous,"აბსურდული, სასაცილო, უაზრო"
simply,"უბრალოდ, მარტივად"
animal,ცხოველი
showed,აჩვენა
shooting,სროლა
keeps,"ინახავს, ინარჩუნებს"
camp,ბანაკი / კარავი
guns,იარაღები
medical,სამედიცინო
shame,სირცხვილი
hoping,იმედი
whom,ვის
bird,ფრინველი
majesty,უდიდებულესობა
flowers,ყვავილები
famous,ცნობილი
asleep,მძინარე
beauty,სილამაზე
driver,მძღოლი 
keys,გასაღებები
rain,წვიმა
awful,საშინელი
large,დიდი
local,ადგილობრივი
deserve,დამსახურება
goddamn,ჯანდაბა!
stone,ქვა
consider,მიჩნევა
weekend,შაბათ-კვირა
wondering,დაინტრესებული
lay,კვერცხის დადება / ნელა დადება
plenty,უამრავი
willing,მოსურნე
pants,შარვალი
sweetheart,საყვარელო
skin,კანი
excellent,საუკეთესო
beach,ზღვის ნაპირი
faith,რწმენა
beg,თხოვნა
responsible,პასუხისმგებელი
military,სამხედრო
cheering,გამხნევება / აპლოდისმენტები
opportunity,შესაძლოა
common,"საერთო, ფართოდ გავრცელებული"
bottom,"ფსკერი, ძირი"
german,გერმანელი
whoever,ვინმე
cook,"მზარეული , მომზადება კერძის"
walked,დადიოდა
papers,ნაშრომები
justice,სამართლიანობა
hall,დარბაზი
commander,მეთაური
drug,წამალი
main,მთავარი
knife,დანა
devil,ეშმაკი
necessary,აუცილებელი
although,თუმცა
princess,პრინცესა
lights,შუქები
flying,ფრენა / მფრინავი
rose,ვარდი
knowing,ცოდნა
clearly,"ცხადად, გარკვევით"
hat,ქუდი
agreed,შეთანხმებული
corner,კუთხე
code,კოდი
note,შენიშვნა
due,გამო
correct,სწორი
apologize,ბოდიშის მოხდა
language,ენა
stars,ვარსკვლავები
faster,უფრო სწრაფად
cars,ავტომანქანები
folks,ხალხი
bullshit,უაზრობა
fellow,მოძმე
several,რამდენიმე
grandma,ბებია
shows,აჩვენებს / სანახაობები
leader,ხელმძღვანელი 
leaves,ფოთლები
restaurant,რესტორანი
shouting,დაყვირება
blind,ბრმა
ghost,მოჩვენება
cup,ფინჯანი
tight,მჭიდრო
conversation,საუბარი
tells,მოგვითხრობს
lies,ტყუილები
nor,ვერც
pulled,გამოქაჩა
hanging,ჩამოკიდებული
speed,სისწრაფე
stories,"ისტორიები, მოთხრობები"
health,ჯანმრთელობა
advice,რჩევა
murdered,მოკლული
beyond,მიღმა
rule,წესი / მართვა
hardly,ძლივს
possibly,შესაძლოა
inspector,ინსპექტორი
cousin,"ბიძაშვილი, მამიდაშვილი, დეიდაშვილი"
trial,"გამოცდა, საცდელი"
emergency,განსაკუთრებული მდგომარება
ought,უნდა
somehow,როგორღაც
hearing,მოსმენა
states,შტატები
account,ანგარიში
spoke,ისაუბრა
file,საქაღალდე
understood,მიხვდა
angel,ანგელოზი
tape,"ფირი, ლენტა"
milk,რძე
powerful,ძლიერი
weapons,იარაღი
practice,ვარჯიში
manager,მმართველი 
pardon,უკაცრავად
vote,ხმის მიცემა
national,ეროვნული
career,კარიერა
minister,მინისტრი
super,შესანიშნავი
taught,ასწავლიან
biggest,ყველაზე დიდი
plays,თამაშობს / პიესები
natural,"ბუნებრივი, ნატურალური"
dancing,ცეკვა
copy,კოპირება
plus,პლუსი
cake,ნამცხვარი
freedom,თავისუფლება
among,შორის
breath,სუნთქვა
operation,ოპერაცია
crew,ეკიპაჟი
challenge,გამოწვევა
market,ბაზარი
meat,ხორცი
towards,მიმართ
bringing,შემოტანა
dropped,დავარდა
student,სტუდენტი
lied,ატყუებდა
strength,ძალა
size,ზომა
breathe,სუნთქვა
color,ფერი
monster,ურჩხული
loud,ხმამაღლა
photo,ფოტო
nearly,თითქმის
sight,"მხედველობა, ღირსშესანიშნაობა"
greatest,ყველაზე დიდი
games,თამაშები
bridge,ხიდი
dressed,ჩაცმული
arrested,დაკავებული
horrible,საშინელი
coach,მწვრთნელი 
planning,დაგეგმვა
checked,შემოწმებული
breaking,მსხვრევა
noticed,შენიშნა
fantastic,ფანტასტიკური
screams,ყვირილი
serve,სამსახური
ideas,იდეები
investigation,გამოძიება
center,ცენტრი
older,უფროსი ასაკით
pack,"შეფუთვა, ""პაჭკა"""
soldiers,ჯარისკაცები
nonsense,უაზრობა
project,პროექტი
training,"ვარჯიში, ტრენინგი"
example,მაგალითი
trick,"ტრიუკი, ხრიკი"
prepared,მომზადება
science,მეცნიერება
united,შეერთებული
travel,მოგზაურობა
incredible,დაუჯერებელი
paying,გადასახადი
character,პერსონაჟი 
teeth,კბილები
criminal,კრიმინალი
chinese,ჩინელი
truly,ნამდვილად
honestly,გულწრფელად
bro,ძმაო
survive,გადარჩენა
target,სამიზნე
feed,გამოკვება
nurse,ძიძა / ექთანი
fake,ყალბი
records,ჩანაწერები
breathing,სუნთქვა
sweetie,ტკბილი
numbers,რიცხვები
oil,"ნავთობი, ზეთი, საწვავი"
suicide,თვითმკვლელობა
belong,მიკუთვნება
perfectly,სრულყოფილად
forgotten,დავიწყებული
remain,რჩება
original,"ორიგინალი, დედანი"
concerned,"დაინტერესებული, შეშფოთებული"
credit,კრედიტი
invited,მოწვეული
discuss,განხილვა
research,კვლევა
easier,უფრო ადვილია
view,ხედი
chair,სკამი
hurts,მტკივნეულია
fill,გავსება
condition,პირობა
mountain,მთა
nowhere,არსად
sheriff,შერიფი
turning,გადაქცევა
brown,ყავისფერი
recognize,ამოცნობა
heads,"თავები, ხელმძღვანელები"
audience,"აუდიტორია, მაყურებლები"
all,ყველა
jealous,ეჭვიანი
pretend,თავის მოჩვენება
society,საზოგადოება
finding,მოძიება
shirt,პერანგი
comfortable,მოხერხებული
meaning,მნიშვნელობა
guest,სტუმარი 
pieces,ნაჭრები
dry,მშრალი
letting,ნების დართვა
began,დაიწყო
female,მდედრი
release,"გათავისუფლება / გამოქვეყნება, გამოშვება"
cards,ბარათები
pray,ლოცვა
unfortunately,საუბედუროდ
balls,ბურთები
destroyed,განადგურებული
ended,დასრულდა
universe,სამყარო
prepare,მომზადება
opinion,აზრი
movies,ფილმები
soldier,ჯარისკაცი
wash,რეცხვა
program,პროგრამა
heat,"სითბო, სიცხე"
usual,ჩვეულებრივი
ticket,ბილეთი
stolen,მოპარული
prefer,"უპირატესობის მინიჭება, ვამჯობინებ"
aware,"აზრზე მყოფი, მცოდნე"
surely,აუცილებად
male,მამრი
base,საფუძველი
matters,საკითხები
lift,"ლიფტი, აწევა"
lab,ლაბორატორია
command,ბრძანება
proof,დამამტკიცებელი საბუთი
cream,ნაღები / კრემი
selling,გაყიდვა
believed,სჯეროდა
create,შექმნა
afford,მატერიალურად გაწვდომა
total,სრული
dumb,ჩლუნგი
threw,"სროლა, გადაგდება"
birth,დაბადება
created,შექმნილი
realized,რეალიზებული / გაცნობიერებული
british,"ინგლისელი, ბრიტანელი"
noise,ხმაური
nuts,სიგიჟე
students,სტუდენტები
birds,ჩიტები
social,სოციალური
brilliant,ბრწყინვალე
bodies,"ორგანოები, სხეული"
tie,"შეხვევა, ყელსახვევი"
opened,გახსნა
ours,ჩვენი
mister,ბატონი
ugly,მახინჯი
focus,ფოკუსი
opens,ხსნის
exist,არსებობს
followed,"გაყოლილი, მიდევნებული"
england,ინგლისი
draw,ხატვა
purpose,მიზანი
letters,წერილები
opening,გახსნა
bullet,ტყვია
lately,ბოლო დროს
stayed,დარჩა
falling,"ცვენა, დაცემა"
season,"წლის დრო, სეზონი"
ends,მთავრდება
suggest,შემოთავაზება
joy,მხიარულება
distance,დისტანცია
responsibility,პასუხისმგებლობა
whenever,ნებისმიერ დროს
issue,საკითხი / პრობლემა 
process,"პროცესი, დამუშავება"
sword,ხმალი
shower,შხაპი
weak,სუსტი
lonely,განმარტოებული
happiness,ბედნიერება
tiny,პაწია
desk,მერხი
pool,საცურაო აუზი
property,საკუთრება
forced,იძულებითი
settle,დასახლება / გადაწვეტილებამდე მისვლა
indistinct,გაურკვეველი
weight,წონა
received,მიღებული
gang,ბანდა
bite,კბენა
disappeared,გაქრა
interview,ინტერვიუ
expecting,ელოდება
kinda,თითქოს
surgery,ქირურგია
horses,ცხენები
ancient,ანტიკური / უძველესი
handsome,დახვეწილი / სიმპათიური
staff,პერსონალი
lines,ხაზები
unit,ერთეული
fan,"ფანატი, თაყვანისმცემელი / ვენტილატორი"
gentleman,ჯენტლმენი
introduce,გაცნობა / შესავალი
fate,ბედი
split,დაყოფა
recently,ახლახან
expected,მოსალოდნელია
add,დამატება
ordered,უბრძანა
slowly,ნელა
alarm,მაღვიძარა / განგაში
member,წევრი
slept,ეძინა
signed,ხელმოწერილი
enter,შესვლა
spanish,ესპანური
garden,ბაღი
brings,მოაქვს
brave,მამაცი
pig,ღორი
model,ნიმუში
finger,თითი
medicine,წამალი
access,წვდომა
failed,"ჩაიჭრა, არ გამოუვიდა"
flat,ბინა
easily,ადვილად
discovered,აღმოჩენილი
based,დაფუძნებულია
screw,ხრახნი
insane,გიჟი
cares,ზრუნავს
weather,ამინდი
fingers,თითები
path,ბილიკი
soft,რბილი
harm,ზიანის მიყენება
style,სტილი
community,თემი
sees,ხედავს
basically,ძირითადად
signal,სიგნალი
nope,"არა, უარი"
spare,სათადარიგო
speech,"სიტყვა, მოხსენება"
covered,დაფარული
shake,რხევა
loose,მოშვებული
snow,თოვლი
russian,რუსი
lake,ტბა
bright,ნათელი
roof,სახურავი
sending,გაგზავნა
paint,"საღებავი, ხატვა"
remind,გახსენება
naked,შიშველი
post,პოსტი
sugar,შაქარი
heading,სათაური
streets,ქუჩები
damage,"ზიანი, ზარალი"
silence,სიჩუმე
doors,კარები
success,წარმატება
wet,სველი
amount,რაოდენობა
members,წევრები
manage,"მენეჯმენტი, ორგანიზება"
safety,უსაფრთხოება
returned,დაბრუნდა
harder,უფრო ძლიერად
block,ბლოკი
showing,ჩვენება
fancy,"ლამაზი, ფუფუნების საგანი"
chef,შეფ-მზარეული 
contract,ხელშეკრულება
dig,თხრა
chest,"მკერდი / ყუთი, ზანდუკი"
good-bye,ნახვამდის
drinks,სასმელები
buried,დაკრძალვა
trade,ვაჭრობა
journey,მოგზაურობა
stomach,კუჭი
changes,ცვლილებები
details,დეტალები
thoughts,ფიქრები
divorce,განქორწინება
funeral,დაკრძალვა
football,ფეხბურთი
reality,სინამდვილე
theory,თეორია
ruined,"დანგრეული, განადგურებული"
gate,ჭიშკარი
spread,გავრცელება
japanese,იაპონელი
sudden,მოულოდნელი
coat,პალტო
sooner,უფრო ადრე
cheese,ყველი
spring,"წყარო, გაზაფხული"
page,გვერდი
ears,ყურები
castle,ციხესიმაგრე
hidden,დაფარული 
storm,ქარიშხალი
personally,პირადად
artist,ხელოვანი
hill,ბორცვი
exciting,ამაღელვებელი
permission,ნებართვა
expensive,ძვირი
tickets,ბილეთები
forest,ტყე
barely,ძლივს
eggs,კვერცხები
regret,სინანული
lesson,გაკვეთილი
lover,შეყვარებული
bread,პური
subject,"საგანი, ქვემდებარე"
legal,სამართლებრივი
growing,იზრდება
ill,ავადმყოფი
mood,ხასიათი
owner,მესაკუთრე 
caused,გამოწვეული
beeping,სიგნალი
points,ქულები / წერტილები
dating,დათარიღება / პაემანზზე სიარული
loss,დაკარგვა
secretary,მდივანი 
revenge,შურისძიება
santa,სანტა
likely,სავარაუდოდ
rent,გაქირავება
connection,კავშირი
assistant,"ასისტენტი, დამხმარე"
reasons,მიზეზი
yelling,ყვირილი
painting,ნახატი
trees,ხეები
doctors,ექიმები
rush,სიჩქარე
foreign,უცხო ქვეყნის მოქალაქე
rough,უხეში
murderer,მკვლელი
century,საუკუნე
nights,ღამეები
pair,წყვილი
runs,გარბის
pocket,ჯიბე
farm,ფერმა
bike,ველოსიპედი
obvious,აშკარა
ate,შეჭამა
grew,გაიზარდა
professional,პროფესიონალი
goodness,სიკარგე
parts,ნაწილები
university,უნივერსიტეტი
square,მოედანი
genius,გენიოსი
cases,შემთხვევები
ruin,"გაფუჭება, დანგრევა"
winter,ზამთარი
tongue,ენა
memories,მოგონებები
buying,ყიდვა
cancer,კიბო
clock,საათი
ocean,ოკეანე
dna,დეენემი
liar,მატყუარა 
tour,მგზავრობა
thief,ქურდი 
bleep,წრიპინი
rights,უფლებები
including,ჩათვლით
competition,"შეჯიბრება, კონკურსი"
planned,დაგეგმილი
boring,მოსაწყენი
victims,მსხვერპლები
mentioned,აღნიშნული
bones,ძვლები
plant,დარგვა
bless,კურთხევა
warning,გაფრთხილება
knocking,კაკუნი
crash,ავარია
bedroom,საწოლი ოთახი
lower,უფრო დაბალი
silver,ვერცხლი
groaning,კვნესა
madame,მადამ
defense,დაცვა
results,შედეგები
toilet,ტუალეტი
event,"შემთხვევა, ღონისძიება."
complicated,გართულებული
shape,ფორმა
priest,მღვდელი
royal,სამეფო
cheap,იაფი
romantic,რომანტიკული
downstairs,"დაბლა, ქვედა სართულზე"
invite,მოწვევა
fortune,ბედი
tears,ცრემლები
avoid,თავიდან აცილება
reached,მიაღწია
higher,უფრო მაღალი
familiar,ნაცნობი
telephone,ტელეფონი
burning,დამწვრობა
filled,სავსე
airport,აეროპორტი
jobs,სამუშაო ადგილები
grown,გაზრდილი
giant,გიგანტი
insurance,დაზღვევა
woods,ტყეები
scare,შეშინება
pleased,მოხარული
period,პერიოდი
political,პოლიტიკური
player,მოთამაშე 
stops,შეჩერდება
secrets,საიდუმლოებები
repeat,გამეორება
photos,ფოტოები
finds,აღმოაჩენს
statement,განცხადება
suck,წოვა
younger,უფრო ახალგაზრდა
humans,ადამიანები
delicious,უგემრიელესი
particular,გარკვეული / კონკრეტული
proper,"სათანადო, სწორი, მართებული"
belongs,ეკუთვნის
attacked,დაესხნენ თავს
bath,აბაზანა
hired,დაქირავებული
site,საიტი
knowledge,ცოდნა
led,გაუძღვა
guests,სტუმრები
celebrate,"აღნიშვნა, ზეიმი"
map,რუკა
horn,რქა / სიგნალი
eventually,საბოლოოდ
pity,"სამწუხარო, დასანანი"
powers,ძალები
ashamed,დარცხვენილი
assume,ვარაუდი
glasses,სათვალეები / ჭიქები
rise,მაღლა აწევა
fixed,ფიქსირებული
request,მოთხოვნა
pounds,ფუნტი
data,მონაცემები
carefully,ფრთხილად
per,თითოეული
depends,დამოკიდებულია
jury,ჟიური / ნაფიც მსაჯულთა სასამართლო
waited,ელოდა
positive,დადებითი
attorney,ადვოკატი 
direction,მიმართულება
families,ოჯახები
clock,საათი
forces,ძალები
location,ადგილმდებარეობა
walls,კედლები
useless,უსარგებლო
grant,ჩუქება / გრანტი
saving,"შენახვა, დაზოგვა"
speaks,საუბრობს
fought,იბრძოდა
meal,საჭმელი
deliver,მიტანა
answers,პასუხები
changing,შეცვლა
temple,ტაძარი / საფეთქელი
scary,საშიში
offered,შესთავაზა
regular,რეგულარული
carrying,ტარება
official,თანამდებობის პირი
jacket,ქურთუკი
switch,"შეცვლა, გამორთვა"
grave,სამარე
chase,დევნა
role,როლი
odd,კენტი / უცნაური
sexy,სექსუალური
faces,"სახეები, პერსონები"
becomes,ხდება
closes,იკეტება
badly,ცუდად / მძიმედ / ძალიან
tall,მაღალი
confused,დაბნეული
affair,კავშირი / რომანი / საქმიანობა 
television,ტელევიზია
shock,"დარტყმა / იმპულსი, შოკი"
panting,ქოშინი
pizza,პიცა
image,გამოსახულება
clears,"წმენდს, იწმენდს"
golden,ოქროსი
patients,პაციენტები
watched,ვუყურე
committed,ჩადენილი
sexual,სექსუალური
suffer,ტანჯვა
wherever,სადაც არ
plate,თეფში
appear,გამოჩენა
chocolate,შოკოლადი
clever,ჭკვიანი
mercy,წყალობა
shots,გასროლა
dealing,საქმე
trap,მახე
charges,"ბრალდება, ხარჯი, დამუხტვა"
bang,აფეთება
poison,საწამლავი
butt,საჯდომი / კონდახი
drove,მართავდა
yourselves,თქვენთვითონ
babies,ბავშვები
soup,სუპი
mystery,საიდუმლო
picking,"კრეფა, შეგროვება"
sat,დაჯდა
wound,ჭრილობა
traffic,საგზაო მოძრაობა
courage,სიმამაცე
hunt,ნადირობა
indian,ინდიელი 
rat,ვირთხა
terms,ვადები / პირობები
italian,იტალიელი
checking,შემოწმება
disease,დაავადება
managed,"მოახერხა, წარმართა"
winner,გამარჯვებული 
council,საბჭო
appointment,საქმიანი შეხვედრა
monday,ორშაბათი
crack,ჭახანი / ბზარი
threat,"მუქარა, საფრთხე"
physical,ფიზიკური
nation,ერი
source,წყარო
chose,აირჩეს
healthy,ჯანმრთელი
victory,გამარჯვება
stood,იდგა
kicked,დაარტყა
disgusting,საზიზღარი
palace,სასახლე
below,"ქვევით, დაბლა"
shopping,ვაჭრობა
neighborhood,მეზობლობა
lips,ტუჩები
midnight,შუაღამე
piss,შარდი
advantage,უპირატესობა
pure,წმინდა
india,ინდოეთი
aside,განზე
mail,ფოსტა
dawn,განთიადი
effect,ეფექტი
spell,შელოცვა
freak,შეშლილი
wood,ტყე
screwed,ხრახნი
enemies,მტრები
awake,გაღვიძება
chuckling,"ჩაცინება, ხითხითი"
vacation,არდადეგები
violence,ძალადობა
grandmother,ბებია
modern,თანამედროვე
firm,"ფირმა, კომპანია, მტკიცე"
prime,პრემიერ
touched,შეეხო
talent,ნიჭი
whore,მეძავი
piano,პიანინო
license,ლიცენზია
cooking,საჭმლის მომზადება
honour,პატივი
concern,"ნერვიულობა, შფოთვა / კავშირი"
moves,მოძრაობს
available,ხელმისაწვდომი
factory,ქარხანა
gods,ღმერთები
value,ღირებულება
central,ცენტრალური
union,კავშირი
mirror,სარკე
studio,სტუდიო
media,მედია
taxi,ტაქსი
dies,კვდება
iron,"უთო, გაუთოება / რკინა"
hearts,გულები
desire,ძლიერი სურვილი
rob,ძარცვა
songs,სიმღერები
monkey,მაიმუნი
pride,სიამაყე
pills,აბები
miracle,სასწაული
swim,ცურვა
burned,დამწვარი
smells,სუნი
joking,ხუმრობა
christian,ქრისტიანი
bleeding,სისხლდენა
hook,კავი
beating,ცემა / დამარცხება
protection,დაცვა
treatment,მკურნალობა
ear,ყური
metal,ლითონი
disappear,გაუჩინარება
grateful,მადლიერი
extremely,უკიდურესად
treasure,საგანძური
rescue,გადარჩენა
capable,უნარიანი
passing,გავლა / გატარება / გადაცემა
chatter,"ლაყბობა, ლაქლაქი"
result,შედეგი
suffering,ტანჯვა
sisters,დები
governor,გუბერნატორი
guards,მცველები
text,ტექსტი
literally,სიტყვასიტყვით
remove,"მოშორება, წაშლა"
becoming,გახდება
performance,შესრულება
stronger,ძლიერი
rate,"ფასი, ტარიფი"
deeply,ღრმად
scream,კივილი
desert,უდაბნო
vehicle,ავტომობილი
illegal,უკანონო
pulling,"გაქაჩვა, გაზიდვა"
throwing,სროლა
unbelievable,დაუჯერებელი
zero,ნული
curious,ცნობისმოყვარე
candy,ტკბილეული
bone,ძვალი
tied,დაბმული
edge,კიდე
load,დატვირთვა
mountains,მთები
boom,"ბუმი, სწრაფი ზრდა"
former,ყოფილი
holiday,დღესასწაული
riding,"ჭენება, სრბოლა"
scoffs,"დასცინის, ირონიულად საუბრობს"
hundreds,ასობით
sue,სარჩელი
bags,ჩანთები
stealing,ქურდობა
appears,გამოჩნდება
arrive,ჩამოსვლა
remains,ნაშთები
decent,"რიგიანი, მართებული / საკმარისი"
issues,საკითხები / პრობლემები
tip,წვერი
fail,მარცხის განცდა
bride,საცოლე
pissed,გაბრაზებული
claim,მოთხოვნა
friendship,მეგობრობა
desperate,სასოწარკვეთილი
flower,ყვავილი
dramatic,დრამატული
refuse,უარის თქმა
solve,გადაწყვეტა
theme,თემა
loving,მოსიყვარულე
properly,სათანადოდ
dragon,დრაკონი
mostly,ძირითადად
directly,პირდაპირ
surface,ზედაპირი
FALSE,ცრუ
cast,"მსახიობის როლი, დაყალიბება"
junior,უმცროსი
hunting,ნადირობა
silent,ჩუმი
egg,კვერცხი
germany,გერმანია
punch,მუშტის დარტყმა
africa,აფრიკა
woke,გაღვიძებული
intelligence,ინტელექტი
borrow,სესხება
winning,გამარჯვება
falls,ცვივა
popular,სახალხო
escaped,გაიქცა
witch,ჯადოქარი
convinced,დარწმუნებული
warn,გაფრთხილება
announcer,დიქტორი 
champagne,შამპანური
dust,მტვერი
someday,ოდესმე
fallen,დაცემული
stranger,უცნობი 
presence,თანდასწრება
tear,ცრემლი / დაფლეთა
internet,ინტერნეტი
monsieur,"მუსიე, ბატონო"
therefore,"ამიტომ, აქედან გამომდინარე"
technology,ტექნოლოგია
tires,საბურავები
toast,სადღეგრძელო
wise,ბრძენი
americans,ამერიკელები
notes,ჩანიშვნები
smoking,მოწევა
ls,არის
wolf,მგელი
precious,ძვირფასი
rooms,ოთახები
coast,სანაპირო
treated,ეპყრობოდა / მკურნალობა
material,მასალა
released,"გაათავისუფლეს / გამოსცეს, გამოაქვეყნეს"
uniform,უნიფორმა
hated,სძულდა
considered,მიიჩნევა
rice,ბრინჯი
exchange,გადაცვლა
steps,ნაბიჯები
convince,დარწმუნება
beast,მხეცი
cow,ძროხა
files,ფაილები
signs,ნიშნები
cab,ტაქსი